legal_entity_customer_number,banding,credit_risk_rating_description,exist_days,prod_mix_m1,prod_mix_m2,prod_mix_m3,prod_mix_m4,prod_mix_m5,prod_mix_m6,prod_mix_m7,prod_mix_m8,prod_mix_m9,sites_visited_m1,sites_visited_m2,sites_visited_m3,sites_visited_m4,sites_visited_m5,sites_visited_m6,sites_visited_m7,sites_visited_m8,sites_visited_m9,volume_m1,volume_m2,volume_m3,volume_m4,volume_m5,volume_m6,volume_m7,volume_m8,volume_m9,churn_label
3209,C,F - Other,1142,8,5,7,1,5,5,6,7,6,3,2,4,1,2,2,2,4,2,171.23,97.9,115.18,28.51,41.73,114.6,161.25,176.33,114.02,0
3210,C,F - Other,1150,2,2,1,1,3,3,2,3,4,2,2,3,1,2,2,3,3,2,70.29,77.69,87.88,29.33,111.15,179.83,131.96,119.25,112.89,0
3211,C,F - Other,1143,2,1,1,0,2,0,5,4,4,1,1,1,0,2,0,1,1,1,20.99,14.03,25.83,0,41.53,0,20.63,20.42,23.62,0
3212,C,F - Other,1147,2,2,3,3,1,3,3,3,3,3,1,2,2,2,1,2,2,2,62.55,38.58,71.26,49.28,49.76,47.11,88.29,101.11,87.24,0
3213,C,F - Other,1135,0,1,1,1,2,1,1,1,2,0,1,1,1,1,1,1,1,4,0,40.63,31.38,30.98,91.62,36.21,35.99,36.98,151.15,0
3214,C,F - Other,1146,7,2,2,1,1,2,2,5,3,2,1,1,1,1,1,1,2,1,55.74,35.23,26.49,16.36,10.68,20.57,16.86,52.75,20.07,0
3215,C,F - Other,1134,1,2,2,1,0,1,1,2,1,1,2,2,1,0,1,1,2,2,49.75,97.76,53.07,48.49,0,24.43,21.19,45.39,46.68,0
3216,C,B - Medium,1139,10,10,10,7,10,10,8,7,4,9,11,9,6,8,7,3,2,2,1272.15,1606.77,628.98,294.49,784.65,752.4,127.66,77.15,118.69,0
3217,B,C - High Risk,1137,9,9,9,6,5,9,9,7,9,6,6,5,4,3,5,5,7,5,3946.33,4334.96,4727.63,3213.89,1918.8,588.4,749.34,1316.44,1083.16,0
3218,C,C - High Risk,1133,2,4,2,1,3,3,3,2,3,28,31,26,15,30,18,28,16,37,2070.18,3066.05,2123.61,1201.06,2130.4,1625.35,2596.26,1634.37,3313.77,0
3219,C,F - Other,1139,3,1,1,0,1,1,0,1,2,1,1,1,0,1,1,0,1,1,10.62,3.6,3.77,0,2.11,8.42,0,4.67,8.02,0
3220,C,F - Other,1126,1,1,1,1,2,2,0,2,2,1,1,1,1,1,2,0,2,1,17.9,22.95,25.62,13.81,38.94,39.55,0,37.16,37.74,0
3221,D,C - High Risk,1140,9,10,9,10,8,13,8,10,12,13,18,14,16,12,17,16,16,19,454.24,1175.8,493.7,586.27,660.6,1333.25,1521.91,602.32,2423.1,0
3222,D,C - High Risk,1131,6,2,2,3,3,5,4,6,3,1,1,1,1,1,1,2,1,1,59.56,54.68,74.75,60.53,80.91,119.73,129.04,77.88,99.85,0
3223,D,C - High Risk,1139,3,4,2,3,2,1,2,3,2,1,1,1,1,1,1,1,1,1,35.69,38,43.29,34.56,36.49,37.49,45.13,30.37,45.93,0
3224,D,C - High Risk,1130,9,9,11,7,7,7,9,5,5,5,5,5,4,5,5,3,4,4,470.28,610.72,580.08,613.25,488.88,318.8,275.96,225.72,229.82,1
3225,C,C - High Risk,1125,5,5,6,6,7,7,7,6,5,7,6,7,7,7,8,9,8,8,1774.4,1839.72,1765.53,1923.26,1932.13,2214.59,2029.53,1862.84,2046.66,0
3226,A,C - High Risk,1127,6,7,7,7,6,6,5,7,7,6,5,6,5,5,6,5,6,6,2042.96,2199.73,2173.64,1891.82,2060.18,1711.76,2608.24,1661.59,3124.96,0
3227,D,C - High Risk,1135,8,7,6,6,9,7,7,7,6,7,5,6,6,8,6,7,7,6,291.82,230.98,752.21,696.03,899.03,742.45,868.76,317.38,881.42,0
3228,C,F - Other,1129,1,1,1,1,0,3,1,1,1,2,1,1,1,0,1,1,1,1,38.77,36.29,31.07,14.87,0,55.52,19.84,32.5,18.12,0
3229,C,F - Other,1120,4,2,1,0,1,5,1,2,2,2,1,1,0,1,3,1,2,2,36.57,21.38,15.03,0,11.82,41.31,8.67,39.4,43.34,0
3230,B,B - Medium,1119,8,6,7,6,5,6,8,5,7,16,18,17,17,17,20,20,17,23,6071.72,6381.85,6603.77,6173.44,5776.23,6775.79,8782.33,8226.73,8811.89,0
3231,D,B - Medium,1131,5,5,6,6,5,4,8,8,7,2,3,3,3,3,2,3,3,4,297.56,721.8,628.24,378.32,608.54,758.59,417.59,644.11,1318.65,0
3232,C,F - Other,1123,2,0,0,2,3,7,3,4,3,1,0,0,1,1,1,1,1,1,3.32,0,0,13.37,19.82,31.88,30.9,41.32,32.88,0
3233,C,F - Other,1116,2,3,2,2,1,1,2,2,2,3,5,2,2,1,2,2,2,2,101.1,187.54,43.52,29.29,11.42,39.9,95.34,38.73,88.04,0
3234,C,F - Other,1123,1,5,2,2,2,3,3,1,2,1,1,1,1,1,1,1,1,1,4.73,25.02,4.35,5.48,24.07,24.14,26.18,18.53,27.31,0
3235,C,F - Other,1121,1,1,1,3,1,2,1,2,1,2,2,1,1,1,3,2,1,2,30.8,42.39,35.53,42.03,20.1,85.76,50.75,24.87,44.95,0
3236,D,C - High Risk,1114,3,4,2,5,6,6,6,3,6,3,3,2,3,5,4,4,4,4,366.58,849.65,26.3,250.88,615.02,366.86,256.54,382.53,160.34,0
3237,D,C - High Risk,1120,6,7,6,5,3,7,7,6,7,9,15,11,5,3,10,9,9,12,1998.55,2192.67,1950.09,488.59,40.81,2599.11,2154.54,1855.75,2011.23,0
3238,B,C - High Risk,1109,5,5,5,5,4,5,4,4,4,1,1,2,1,2,1,1,1,1,16.93,29.94,457.44,345.42,177.63,107.09,83.2,111.31,99.85,0
3239,A,B - Medium,1120,6,6,5,5,5,5,5,5,6,11,12,11,10,12,13,13,13,12,14852.27,16556.51,15680.31,12615.78,15327.12,16368.24,17606.63,16994.97,16575.28,0
3240,B,C - High Risk,1116,10,9,10,8,9,10,11,13,12,11,10,18,13,12,12,14,11,11,10527.29,9087.44,9952.62,10393.35,8577.63,8699.77,10618.54,9062.35,7085.95,0
3241,C,F - Other,1117,1,1,1,1,1,2,0,1,2,1,1,1,1,1,1,0,1,3,38.04,48.23,34.45,33.57,33.06,87.63,0,67.12,86.19,0
3242,D,C - High Risk,1111,5,6,7,6,5,5,7,6,5,3,4,5,4,2,4,3,4,2,304.25,559.64,603.91,224.63,158.74,809.72,115.93,404.15,84.33,0
3243,B,B - Medium,1112,5,5,5,4,5,4,5,8,7,6,5,5,5,5,5,4,7,6,11449.98,10130.29,9048.51,8253.26,9046.87,9094.9,8651.61,9580.19,9108.66,0
3244,C,F - Other,1109,1,1,1,0,1,2,2,1,1,1,1,1,0,1,1,1,1,1,32.13,13.77,42.62,0,69.8,31.85,37.52,7.49,31.59,0
3245,C,F - Other,1105,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,19.14,14.55,19.68,11.3,18.86,12.02,32.8,16.62,14.18,0
3246,C,F - Other,1097,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,45.83,47.08,33.89,20.3,34.28,35.09,61.42,44.47,43.67,0
3247,D,C - High Risk,1112,3,3,2,3,2,3,2,3,3,1,1,1,1,2,1,2,2,2,157.07,95.57,120.62,141.66,181.88,203.11,124.19,164.53,130.63,0
3248,B,C - High Risk,1094,4,2,2,2,3,3,2,2,4,3,6,6,6,4,5,7,6,6,2700.49,1917.97,3202.45,2515.12,2704.41,2972.56,3014.1,2679.55,3239.94,0
3249,D,C - High Risk,1107,4,5,3,2,2,3,4,4,3,2,2,1,1,1,1,1,1,1,82.79,131.97,67.76,26.24,102.72,124.64,56.33,102.67,78.66,0
3250,D,C - High Risk,1091,2,1,1,1,1,1,4,2,2,3,3,3,2,2,3,6,3,3,307.78,217.59,283.56,105.08,233.58,345.02,390.15,127.43,440.8,0
3251,C,C - High Risk,1091,9,6,7,5,7,6,8,5,4,7,6,7,3,5,5,8,4,3,2033.41,2116.6,1891.59,407.95,1323.48,1464.54,2067.6,1826.17,2169.57,0
3252,C,C - High Risk,1093,13,11,11,11,11,14,14,15,12,24,26,22,19,20,22,30,23,20,2012.06,1852.39,1395.51,1498.89,2221.44,2109.64,2931.97,2008.04,2102.76,0
3253,D,C - High Risk,1089,4,3,2,2,2,2,2,2,2,4,2,3,2,1,2,2,3,3,330.63,291.42,397.76,297.59,253.45,245.78,340.72,409.42,401.98,0
3254,D,C - High Risk,1091,3,2,2,2,2,2,2,2,2,3,3,4,2,3,3,3,2,3,162.85,100.63,130.21,57.23,99.27,122.8,109.54,136.74,86.57,0
3255,C,F - Other,1092,10,8,5,5,4,8,3,6,5,2,2,1,1,1,2,1,1,1,58.32,103.68,25.17,14.15,24.23,68.52,24.9,17.33,41.36,0
3256,C,F - Other,1098,3,3,2,1,1,2,4,4,3,1,1,1,1,1,1,1,2,1,39.66,25.37,21.51,9.83,15.07,29.88,47.23,38.49,18.27,0
3257,C,F - Other,1099,2,4,1,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,3.69,15.18,4.63,12.06,3.58,19.85,6.07,11.78,10.66,0
3258,C,F - Other,1096,1,1,1,0,3,1,1,1,1,2,1,1,0,3,1,1,1,1,43.65,29.92,26.61,0,56.31,9.79,29.12,41.59,30.01,1
3259,C,F - Other,1100,1,2,2,2,3,1,2,3,2,1,2,2,2,4,1,2,2,2,53.07,63.45,67.39,41.78,169.65,27.41,73.39,58.42,69.38,0
3260,C,F - Other,1088,1,1,1,0,1,3,2,1,2,1,1,1,0,1,1,1,1,1,9.74,10.56,4.16,0,4.68,12.56,9.8,12.35,9.84,0
3261,D,C - High Risk,1089,5,5,5,5,3,6,4,6,3,2,2,1,2,2,2,1,2,2,207.61,179.63,228.61,200.34,182.78,209.84,76.37,139.43,114.71,0
3262,C,F - Other,1096,3,1,2,1,1,0,3,2,2,2,1,2,1,1,0,3,2,1,107.72,28.85,46.13,58.65,40.18,0,107.3,70.21,60.6,0
3263,C,F - Other,1085,9,7,7,8,9,9,9,10,5,4,3,3,3,5,4,4,4,3,157.46,148.81,173.74,143.09,135.29,114.51,195.27,281.67,171.43,0
3264,C,F - Other,1091,5,3,2,3,5,4,3,5,4,3,2,1,1,2,1,3,2,2,73.85,71.16,37.18,32.47,85.5,82.96,89.52,93.86,47.8,0
3265,B,C - High Risk,1085,6,7,6,6,5,7,7,4,4,8,10,10,8,9,7,8,5,6,2577.92,2814.2,2622.52,1839.22,2213.27,2257.67,1913.33,1349.6,1706.65,0
3266,C,F - Other,1087,1,1,1,0,1,1,2,1,1,1,1,1,0,1,1,1,1,1,21.23,23.09,37.64,0,39.58,38.42,43.56,40.12,39.43,0
3267,B,B - Medium,1085,3,3,2,4,3,3,4,4,2,14,13,9,9,9,10,13,8,2,9021.26,4880.94,2734.4,1673.98,2307.73,2722.6,5475.8,2189.27,216,1
3268,C,F - Other,1092,2,2,2,1,2,2,2,3,1,1,1,1,1,1,1,1,2,1,61.62,54.31,53.48,47.08,66.78,63.23,68.93,69.97,47.72,0
3269,C,F - Other,1081,6,4,2,0,2,1,5,2,2,5,1,1,0,1,2,2,3,1,127.19,123.19,111.67,0,22.01,101.42,101.1,166.42,52.1,0
3270,C,C - High Risk,1075,7,6,6,6,6,7,6,7,8,13,13,15,10,7,9,13,15,13,4002.39,5277.5,2623.81,418.52,307.64,506.13,2190.69,1281.45,3186.51,0
3271,D,C - High Risk,1076,7,5,6,4,3,6,3,6,5,12,9,11,7,8,8,9,9,11,2444.64,1806.15,1331.72,758.4,1491.09,2143.61,2191.95,1256.69,2368.62,0
3272,D,C - High Risk,1089,4,2,4,3,4,4,5,4,4,12,14,21,15,11,9,16,16,19,1099.22,1076.13,1256.65,1155.4,1020.17,470.65,1160.79,992.82,1453.27,0
3273,C,D - No Unsecured credit,1076,2,2,1,0,2,2,2,3,3,3,6,2,0,3,3,5,5,3,591.79,2283.26,920.38,0,98.65,882.16,858.14,1009.48,728.39,0
3274,A,B - Medium,1083,14,12,12,10,10,11,11,11,9,20,19,20,31,37,30,33,30,26,66091.15,96292.46,98819.18,51861.3,77580.85,96232.34,101289.42,82117.02,102990.43,0
3275,D,D - No Unsecured credit,1079,3,4,2,2,2,4,4,3,3,2,2,1,1,2,2,3,2,2,146.36,196.46,74.8,152.5,140.84,173.53,216.55,136.52,205.01,0
3276,C,F - Other,1066,1,1,1,2,1,2,1,1,1,1,3,1,2,2,2,1,1,1,31.56,130.83,71.19,66.63,67.48,92.41,26.49,63.64,65.22,0
3277,A,B - Medium,1080,11,11,11,10,12,11,12,12,12,88,95,91,85,80,83,92,86,85,305157.22,268125.85,277959.04,231063,231520.87,251358.45,282588.42,275604.97,332598.45,0
3278,C,F - Other,1081,2,3,2,1,2,2,5,2,2,1,1,1,1,1,1,2,1,1,53.93,54.08,44.33,21.61,31.54,29.25,36.21,19.88,30.35,0
3279,C,F - Other,1079,3,1,2,2,1,1,3,3,1,1,1,1,1,1,1,1,1,1,33.72,33.14,16.42,15.17,30.92,34.08,16.17,30.17,33.56,0
3280,C,C - High Risk,1076,7,8,7,8,8,7,6,7,8,17,13,12,18,17,15,12,11,11,3825.35,2248.6,1483.7,3410.75,2696.15,879.87,2945.83,1557.98,2870.62,0
3281,D,C - High Risk,1068,4,9,5,5,6,6,8,4,7,9,18,7,8,9,12,15,9,11,1307.11,2154.3,1376.5,1008.63,1458.63,1654.06,1590.09,1104.5,1503.72,0
3282,C,C - High Risk,1071,6,6,6,5,6,6,6,6,6,8,7,5,3,5,5,5,5,7,3396.75,2844.83,1215.89,528.9,937.19,833.23,1218.14,328.12,1188.74,0
3283,C,C - High Risk,1074,10,9,10,11,10,11,10,9,10,47,38,26,10,35,40,53,38,43,6908.18,4995.23,4147.52,1857.49,3893.65,5257.31,6666.9,4683.07,5319.35,0
3284,A,A - Low Risk,1076,8,9,6,6,9,5,7,6,8,14,19,11,10,14,12,11,16,18,1455.31,2007.66,1660.7,1241.01,1648.27,1753.86,1382.23,2124.74,2145.21,0
3285,B,B - Medium,1064,7,5,4,5,5,4,5,4,5,9,11,8,5,7,7,11,6,8,605.46,797.88,577.72,29.45,435.13,491,695.17,265.62,786.7,0
3286,B,C - High Risk,1080,6,7,7,6,7,7,5,8,5,24,27,32,18,23,25,25,23,32,12388.84,15234.14,17136.97,9934.24,14271.68,12849.8,14279.47,9895.9,15659.11,0
3287,B,B - Medium,1644,10,8,6,9,10,7,9,7,6,34,34,39,30,27,26,36,27,34,53146.47,58038.79,50328.91,38351.03,48503.64,51859.42,40010.69,38006.68,30703.97,0
3288,C,C - High Risk,6261,7,9,7,7,7,7,7,9,8,21,24,19,11,18,19,20,21,19,2011.89,2019.72,1600.54,1089,1568.73,1754.18,1878.95,1759.34,1894.16,0
3289,D,B - Medium,4755,7,8,10,6,10,8,9,10,9,9,7,11,4,7,7,8,8,8,1162.99,1472.35,1002.73,55.17,355.48,686.14,957.39,461.88,288.02,0
3290,A,A - Low Risk,5556,13,14,13,15,14,15,14,14,15,130,136,138,113,113,133,134,135,143,578967.89,553727.76,566107.03,470037.42,542155.21,601343.17,649052.3,575179.06,641690.27,0
3291,C,C - High Risk,2415,5,3,3,0,4,4,8,4,5,1,1,1,0,1,1,1,1,1,33.98,10.88,2.53,0,10.94,18.62,32.71,23.69,17.86,0
3292,A,B - Medium,3899,16,16,16,13,15,15,16,15,15,100,111,108,92,74,92,94,95,93,284971.74,286355.92,297614.55,196521.53,219667.74,266713.19,300388.27,274955.79,272585.29,0
3293,A,B - Medium,2450,8,9,7,6,6,9,7,10,7,70,73,59,68,60,64,57,71,61,299341.58,306944.38,319591.35,288426.97,312258.93,264743.02,286376.25,279503.88,272753.46,0
3294,A,C - High Risk,2275,12,8,11,10,5,13,13,8,14,6,4,8,8,3,11,8,2,9,783.35,418.68,1639.71,2057.68,165.35,2704.98,2017.74,196.28,2440.74,0
3295,B,B - Medium,6579,11,10,12,7,9,11,10,10,12,25,28,24,11,28,30,28,23,28,16226.83,16994.58,10384.51,1252.95,7998.94,13295.21,17483.55,11652.49,19832.71,0
3296,C,C - High Risk,5034,9,9,8,10,9,9,8,11,9,19,19,15,15,17,18,21,19,17,3155.21,3140.21,2959.51,2609.79,3020.34,3057.13,3653.07,3305.97,3070.03,0
3297,A,B - Medium,2054,3,3,3,2,1,2,1,3,3,2,1,1,1,1,1,1,1,1,71.55,43.01,37.56,16.33,15.1,34.03,32.12,49.52,100.87,0
3298,B,B - Medium,4043,14,12,12,11,11,11,11,12,12,169,171,139,97,151,163,177,178,156,21030.42,20495.49,14073.4,7782.6,15740.99,18175.06,20801.88,19362.08,18392.11,0
3299,B,B - Medium,3753,9,8,9,7,8,11,9,7,10,34,44,50,20,30,42,34,28,37,3657.06,5495.95,8838.21,1532.08,2624.2,2813.31,2808.76,833.2,3059.08,0
3300,B,A - Low Risk,2017,5,4,3,4,4,4,4,8,6,9,12,8,5,7,6,13,14,8,16284.54,14343.31,11669.37,9779.54,12455.66,16182.4,14199.94,19475.36,2780,0
3301,A,A - Low Risk,4671,9,10,11,10,11,10,10,11,11,65,73,43,31,61,78,76,85,69,13829.02,14948.26,9274.32,6729.67,13670.74,16514.48,17928.73,17392.9,14951.75,0
3302,D,B - Medium,2696,4,4,4,4,4,4,1,4,4,12,12,12,17,11,11,6,7,10,936.26,1057.27,1460.85,1497.85,984.63,803.68,767.08,857.7,861.44,0
3303,A,C - High Risk,3086,14,14,13,13,13,14,12,14,14,75,74,70,59,71,63,63,62,66,238003.98,192471.78,184115.32,166092.65,163864.7,187645.85,207495.63,149141.97,232464.6,0
3304,B,C - High Risk,3053,8,8,8,8,9,9,14,10,10,32,38,38,25,35,43,49,43,44,3348.21,3673.02,3144.6,2166.64,3327.59,3879.76,4390.67,3705.18,4155.48,0
3305,D,B - Medium,6095,8,7,8,7,6,6,7,7,9,26,20,19,13,15,17,16,27,21,1515.75,780.06,803.28,714.86,960.71,995.56,2402.3,3350.55,857.3,0
3306,A,B - Medium,5309,13,14,14,12,11,14,15,12,13,165,167,150,129,118,130,145,117,151,166903.3,158008.88,158668.97,133299.95,130801.68,143177.68,154353.11,142418.19,154502.9,0
3307,C,C - High Risk,6536,8,7,7,7,8,8,8,8,8,72,63,52,48,57,59,65,54,69,4933.37,3510.17,2699.1,2633.03,3458.97,3679.73,4047.47,3304.66,4314.68,0
3308,D,C - High Risk,3041,8,5,5,5,6,7,6,7,8,10,6,7,4,5,6,13,18,9,1003.55,901.37,818.44,596,861.47,1024.08,1870.98,1521.6,1241.66,0
3309,B,A - Low Risk,6875,12,12,13,11,9,10,11,10,11,158,163,126,78,112,145,154,143,149,25488.77,25298.42,15091.14,7969.32,12338.93,18363.78,22078.63,19814.31,20304.55,0
3310,A,A - Low Risk,6671,16,17,14,11,15,14,14,15,16,43,43,25,13,13,27,32,29,37,8147.76,8008.54,4966.96,2191.49,4208.38,5746.64,6813.04,5465.3,7137.24,0
3311,A,A - Low Risk,2261,9,8,11,8,10,8,9,10,9,106,103,106,95,107,92,105,96,96,686222.98,679586.43,677246.93,644621.45,658422.51,605815.48,638031.65,597972.04,649611.69,0
3312,D,A - Low Risk,2773,6,3,2,3,4,5,3,4,4,3,3,2,2,2,2,3,3,2,128.3,105.12,81.86,70.09,96.49,182.43,132.47,122.64,57.81,0
3313,D,C - High Risk,1863,7,7,6,0,0,6,7,7,6,5,4,3,0,0,4,4,4,4,554.5,581.81,405.66,0,0,172.42,58.54,124.76,35.22,0
3314,A,B - Medium,4408,7,4,4,3,5,5,4,5,4,14,14,12,15,12,16,12,16,19,4270.79,4091.03,4330.93,3886.56,3980.1,4217.94,5376.68,5009.92,4611.02,0
3315,A,B - Medium,2363,5,5,9,7,6,9,9,6,7,5,6,8,7,7,8,7,8,7,1790.22,3773.63,10508.08,8258.19,7759.17,11159.17,8502.61,5363.33,3925.77,0
3316,B,C - High Risk,5907,11,12,9,7,7,11,11,10,13,13,13,10,9,12,11,13,13,14,22628.8,16751.12,9638.02,3176.16,4910.83,4298.41,13277.18,9223.66,7818.89,0
3317,A,B - Medium,5733,21,23,22,15,20,23,21,22,19,136,115,126,81,88,102,89,108,95,118441.03,100054.76,133116.23,85471.77,85373.36,89200.32,92043.89,75691.87,58454.11,0
3318,A,B - Medium,5846,15,12,12,11,16,13,15,14,14,86,76,78,60,72,75,82,72,74,94716.71,99114.78,108304.63,82126.71,85265.44,87566.16,94378.88,86712.67,90804.07,0
3319,D,C - High Risk,2549,6,5,7,7,6,4,4,3,7,2,2,2,2,2,2,2,1,2,119.6,146.58,93.28,82.08,113.31,112.28,94.51,77.45,112.19,0
3320,C,B - Medium,3061,10,9,10,8,9,10,10,9,10,16,17,15,14,14,18,18,18,20,1487.76,1419.59,1496.76,1158.87,1345.9,1609.08,1813.86,1694.06,1946,0
3321,C,C - High Risk,6929,12,10,9,5,9,11,13,11,10,39,39,22,4,21,38,37,30,40,2176.74,2033.28,1048.83,344.6,1044.38,1967.22,2026.06,1651.77,2051.14,0
3322,A,A - Low Risk,6228,6,7,5,5,5,10,8,7,6,34,46,29,38,35,41,47,43,36,40162.33,61460.79,55683.53,82833.03,80811.03,87581.64,93277.94,81296.7,83806.29,0
3323,B,B - Medium,5518,8,9,8,8,7,10,8,10,7,3,3,2,2,2,3,2,3,2,544.21,170.45,168.69,340.89,286.46,296.44,392.91,203.02,158.36,0
3324,C,B - Medium,6286,8,11,8,7,10,8,6,9,8,27,25,20,12,25,28,22,23,22,1912.51,2015.08,1256.14,778.8,1894.27,2120.79,1846.51,1690.87,1970.54,0
3325,A,B - Medium,6934,16,13,15,16,13,14,15,17,18,48,44,49,43,43,41,46,44,44,73599.13,78011.87,82843.29,69045.48,70124.12,67897.71,78651.3,70700.07,72542.29,0
3326,B,A - Low Risk,6479,3,2,2,2,2,2,2,3,2,1,2,2,1,1,1,1,2,2,3718.04,3645.9,3490.8,2259.11,2961.75,3366.19,4034.69,2851.1,3587.47,0
3327,D,C - High Risk,3632,3,3,4,4,4,4,4,2,4,9,11,9,9,12,12,9,3,11,877.11,755.28,702.74,886.97,863.21,973.61,858.25,339.59,732.35,0
3328,D,A - Low Risk,6625,3,4,5,5,4,5,6,3,4,2,4,3,3,5,4,5,2,3,23.96,87.23,120.9,261.22,1290.25,166.42,156.11,136.49,111.08,0
3329,A,A - Low Risk,3585,10,10,9,9,10,12,11,9,10,16,16,17,15,16,16,16,15,16,106240.98,100521.01,113603.33,105260.68,101012.44,105453.52,98283.68,91600.84,91956.47,0
3330,B,C - High Risk,6407,12,11,10,10,8,14,11,10,10,7,8,4,3,3,6,7,5,6,814.99,693.66,445.32,356.86,483.18,666.72,694.75,466.08,646.84,0
3331,D,C - High Risk,3183,8,8,7,7,5,6,8,6,9,8,9,5,4,4,7,7,6,7,907.64,939.37,637.63,407.11,604.19,800.2,860.99,659.45,813.65,0
3332,C,A - Low Risk,5784,10,11,8,8,12,11,11,10,10,1,1,1,1,1,1,1,1,1,3.05,3.94,2.11,1.02,2.56,1.81,2.27,1.14,3.8,0
3333,C,A - Low Risk,5694,7,7,5,4,6,8,7,8,4,4,3,3,2,3,3,3,3,1,289.04,301.91,304.31,169.74,252.23,424.9,475.11,282.89,25.76,1
3334,D,B - Medium,2298,5,4,3,3,2,3,5,5,4,4,4,2,2,2,3,2,2,3,228.47,173.95,78.81,108.74,284.75,172.62,118.21,135.94,195.21,0
3335,D,B - Medium,6651,7,5,3,4,5,4,4,6,6,6,4,5,3,4,5,7,6,6,363,236.39,267.67,160.87,280.6,273.12,412.53,361.24,374.46,0
3336,A,B - Medium,2034,5,4,4,2,2,4,2,2,4,1,2,2,1,1,1,1,1,1,126.42,167.35,144.72,31.47,26.73,66.61,65.67,63.73,93.3,0
3337,A,B - Medium,5756,16,20,16,16,17,16,18,18,18,138,143,146,112,98,104,112,95,106,393804.04,407693.17,454023.4,356946.87,380119.87,419840.5,482422.28,419653.91,474781.84,0
3338,C,C - High Risk,3147,6,5,6,3,5,6,6,6,7,8,7,7,4,6,7,11,7,8,3302.81,3408.42,3902.44,2057.9,2736.23,4137.26,3394.29,4329.64,3577.51,0
3339,C,C - High Risk,6069,8,8,7,7,7,10,9,6,10,11,11,13,8,7,11,13,9,14,2603.07,815.39,2668.57,167.95,425.71,888.53,3066.47,1026.72,2656.89,0
3340,A,B - Medium,5228,15,18,14,14,15,16,16,17,17,77,80,78,64,69,60,62,54,62,141897.91,157838.26,149179.19,105739.26,132122.01,132713.53,145948.59,121934.41,127500.32,0
3341,B,B - Medium,5134,8,10,10,9,7,11,8,10,9,51,52,48,44,42,47,47,50,46,10615.43,9333.96,9689.07,7803.44,8618.21,9681.87,9329.88,9473.94,9452.33,0
3342,A,B - Medium,6233,15,15,17,13,14,16,15,16,16,50,62,51,23,42,52,56,38,50,77934.4,100292.71,78661.45,14420.09,66565.69,83559.85,80996.8,53603.31,88452.79,0
3343,D,B - Medium,6265,8,0,5,4,0,5,6,6,6,5,0,3,2,0,3,3,3,4,113.53,0,61.33,30.69,0,92,122.67,98.22,61.73,0
3344,D,C - High Risk,6436,6,8,6,6,5,4,6,6,6,3,3,3,3,2,3,3,3,3,794.06,984.8,709.63,669.13,639.52,755.35,978.67,695.7,966.05,0
3345,A,A - Low Risk,1876,12,10,11,10,11,11,11,12,12,125,122,120,114,120,128,127,128,126,50580.97,48861.11,43004.06,36158.51,48104.45,51741.85,56992.66,54419.52,51865.76,0
3346,A,B - Medium,5907,18,14,15,14,15,16,16,15,15,119,125,122,100,94,95,89,86,99,77744.92,126686.38,162574.57,146104.43,141018.18,122976.61,95936.56,120011.92,124242.82,0
3347,D,B - Medium,6277,13,11,9,6,5,10,7,7,7,5,5,4,3,4,5,3,5,3,369.63,304.12,288.62,219.36,183.9,251.5,249.93,204.2,186.91,0
3348,A,B - Medium,6202,10,10,10,10,9,10,10,12,10,26,32,25,22,23,28,24,28,24,68769.05,79784.28,81802.33,71425.84,66412.11,68446.56,68904.12,70236.22,71849.17,0
3349,A,B - Medium,5423,13,12,11,11,9,10,9,9,11,73,91,63,70,73,79,86,45,89,76049.67,77854.91,66157.63,50021.91,55719.79,59583.14,60428.72,51192.34,59918.84,0
3350,C,C - High Risk,6650,8,8,7,8,7,10,8,10,8,3,3,3,3,3,4,4,3,4,218.62,236.65,202.79,187.48,199.67,252.68,279.18,243.43,268.53,0
3351,D,C - High Risk,3878,7,6,6,5,4,7,8,6,6,9,7,10,6,6,10,12,6,9,897.94,733.08,562.36,223.41,451.41,702.1,1020.38,808.04,814.08,0
3352,D,C - High Risk,4278,7,6,4,1,3,5,4,4,4,7,5,6,1,4,5,4,4,2,2812.08,5251.54,4161.32,49.63,2973.04,2655.79,2410.24,2923.54,3270.57,0
3353,D,C - High Risk,3453,4,3,2,1,2,2,2,2,2,3,3,1,1,1,1,1,1,1,238.64,281.57,203.05,226.99,185.06,221.68,210.28,187.78,185.02,0
3354,D,C - High Risk,7027,12,13,14,13,11,11,14,12,14,21,24,17,14,15,19,26,22,22,2914.16,3543.65,2788.78,1590.06,1886.43,1948.32,3235.71,2931.1,3079.34,0
3355,B,B - Medium,6862,7,5,4,3,4,5,4,3,4,4,2,2,2,3,3,2,3,3,181.49,88.54,98.48,61.28,146.7,123.5,135.65,136.33,161.45,0
3356,D,D - No Unsecured credit,6436,7,7,6,5,4,4,4,4,4,3,3,3,1,2,2,3,3,3,133.04,136.28,102.48,71.32,118.62,138.82,174.55,137.15,131.33,0
3357,C,B - Medium,3741,9,9,8,7,8,8,7,9,7,14,12,15,8,16,14,16,16,13,7269.32,5859.6,6672.27,2558.23,5709.72,4588.97,5892.14,6833.72,5553.51,0
